number,values_0,values_1,datetime_start,datetime_complete,duration,params_cluster_selection_epsilon,params_min_cluster_size,params_min_dist,params_min_samples,params_n_components,params_n_neighbors,user_attrs_ccc_score,user_attrs_dbcv_score,user_attrs_n_clusters,user_attrs_outlier_ratio,system_attrs_NSGAIISampler:generation,state
179,0.6063392237876389,0.4176387293758889,2025-12-22 20:07:03.929492,2025-12-22 20:07:15.190614,0 days 00:00:11.261122,0.09,32,0.18,10,13,31,0.6063392237876389,0.4176387293758889,14,0.32238805970149254,3,COMPLETE
180,0.6320571954429244,0.2747510664973961,2025-12-22 20:07:15.191926,2025-12-22 20:07:24.912028,0 days 00:00:09.720102,0.26,41,0.3,16,3,24,0.6320571954429244,0.2747510664973961,11,0.44925373134328356,3,COMPLETE
181,0.0,0.5538935285684794,2025-12-22 20:07:24.913285,2025-12-22 20:07:34.309395,0 days 00:00:09.396110,0.04,2,0.19,16,12,6,0.0,0.5538935285684794,2,0.005970149253731343,3,COMPLETE
182,0.5924963616455835,0.5239833745917518,2025-12-22 20:07:34.310715,2025-12-22 20:07:45.811880,0 days 00:00:11.501165,0.25,38,0.03,19,11,49,0.5924963616455835,0.5239833745917518,11,0.2990049751243781,3,COMPLETE
183,0.5127414067690325,0.5959827304994888,2025-12-22 20:07:45.813607,2025-12-22 20:07:54.298598,0 days 00:00:08.484991,0.21,10,0.18,18,11,3,0.5127414067690325,0.5959827304994888,21,0.21044776119402986,3,COMPLETE
184,0.4524724138337207,0.5336116278307134,2025-12-22 20:07:54.300245,2025-12-22 20:08:05.843521,0 days 00:00:11.543276,0.21,2,0.16,14,11,46,0.4524724138337207,0.5336116278307134,35,0.42686567164179107,3,COMPLETE
185,0.47005947683872634,0.5396750918689147,2025-12-22 20:08:05.845473,2025-12-22 20:08:16.464019,0 days 00:00:10.618546,0.21,3,0.27,4,10,13,0.47005947683872634,0.5396750918689147,108,0.2900497512437811,3,COMPLETE
186,0.4978100339789562,0.5394428185300085,2025-12-22 20:08:16.465637,2025-12-22 20:08:26.094144,0 days 00:00:09.628507,0.19,12,0.11,10,6,12,0.4978100339789562,0.5394428185300085,43,0.25970149253731345,3,COMPLETE
187,0.0,-0.10943776538648417,2025-12-22 20:08:26.095990,2025-12-22 20:08:35.453694,0 days 00:00:09.357704,0.25,44,0.18,7,8,8,0.0,-0.10943776538648417,2,0.023383084577114428,3,COMPLETE
188,0.5494297436859864,0.5341453734062058,2025-12-22 20:08:35.455586,2025-12-22 20:08:44.967875,0 days 00:00:09.512289,0.25,12,0.18,10,11,8,0.5494297436859864,0.5341453734062058,41,0.30845771144278605,3,COMPLETE
189,0.7160910355411665,0.3526234648262114,2025-12-22 20:08:44.969688,2025-12-22 20:08:56.049965,0 days 00:00:11.080277,0.06,49,0.19,10,10,42,0.7160910355411665,0.3526234648262114,10,0.2860696517412935,3,COMPLETE
190,0.0,0.3792612596382956,2025-12-22 20:08:56.051614,2025-12-22 20:09:06.203884,0 days 00:00:10.152270,0.08,23,0.21,14,4,24,0.0,0.3792612596382956,2,0.0,3,COMPLETE
191,0.5354661691224221,0.5591076901347867,2025-12-22 20:09:06.205842,2025-12-22 20:09:16.108807,0 days 00:00:09.902965,0.3,3,0.21,15,4,24,0.5354661691224221,0.5591076901347867,35,0.4507462686567164,3,COMPLETE
192,0.6527490758317319,0.4099156611802877,2025-12-22 20:09:16.110113,2025-12-22 20:09:26.845987,0 days 00:00:10.735874,0.12,41,0.04,16,12,24,0.6527490758317319,0.4099156611802877,14,0.3144278606965174,3,COMPLETE
193,0.7629932933856507,0.33047107717967056,2025-12-22 20:09:26.847648,2025-12-22 20:09:36.267053,0 days 00:00:09.419405,0.3,22,0.18,9,8,8,0.7629932933856507,0.33047107717967056,4,0.011442786069651741,3,COMPLETE
194,0.5153075050738103,0.47100042125908353,2025-12-22 20:09:36.269027,2025-12-22 20:09:46.861057,0 days 00:00:10.592030,0.19,35,0.1,16,12,23,0.5153075050738103,0.47100042125908353,15,0.4034825870646766,3,COMPLETE
195,0.5606935233829072,0.5233715449009069,2025-12-22 20:09:46.861991,2025-12-22 20:09:55.993532,0 days 00:00:09.131541,0.0,29,0.11,17,12,6,0.5606935233829072,0.5233715449009069,18,0.2701492537313433,3,COMPLETE
196,0.47712784279883447,0.5906059249797305,2025-12-22 20:09:55.995180,2025-12-22 20:10:06.151044,0 days 00:00:10.155864,0.08,2,0.18,15,14,11,0.47712784279883447,0.5906059249797305,39,0.3935323383084577,3,COMPLETE
197,0.5739284414699762,0.26929736260593456,2025-12-22 20:10:06.153042,2025-12-22 20:10:17.723343,0 days 00:00:11.570301,0.12,28,0.11,12,12,47,0.5739284414699762,0.26929736260593456,15,0.2835820895522388,3,COMPLETE
198,0.6144406042388725,0.5191612541506162,2025-12-22 20:10:17.725012,2025-12-22 20:10:27.083540,0 days 00:00:09.358528,0.24,28,0.16,12,13,7,0.6144406042388725,0.5191612541506162,24,0.3054726368159204,3,COMPLETE
199,0.8240623356293533,0.30892144315173437,2025-12-22 20:10:27.085348,2025-12-22 20:10:38.071892,0 days 00:00:10.986544,0.12,17,0.22,12,14,18,0.8240623356293533,0.30892144315173437,3,0.0029850746268656717,3,COMPLETE
200,0.5606935233829072,0.5233715449009069,2025-12-22 20:10:38.073719,2025-12-22 20:10:47.183258,0 days 00:00:09.109539,0.0,29,0.11,17,12,6,0.5606935233829072,0.5233715449009069,18,0.2701492537313433,4,COMPLETE
201,0.8269448086205721,0.6198184527308173,2025-12-22 20:10:47.184883,2025-12-22 20:10:58.097605,0 days 00:00:10.912722,0.04,14,0.18,15,11,18,0.8269448086205721,0.6198184527308173,3,0.0,4,COMPLETE
202,0.520499442517307,0.4622397103816323,2025-12-22 20:10:58.099382,2025-12-22 20:11:09.888232,0 days 00:00:11.788850,0.08,28,0.22,15,14,42,0.520499442517307,0.4622397103816323,13,0.3517412935323383,4,COMPLETE
203,0.4890345620569363,0.6219924501863642,2025-12-22 20:11:09.890098,2025-12-22 20:11:19.810690,0 days 00:00:09.920592,0.08,3,0.06,7,4,12,0.4890345620569363,0.6219924501863642,91,0.27064676616915423,4,COMPLETE
204,0.5127414067690325,0.5959827304994888,2025-12-22 20:11:19.812567,2025-12-22 20:11:28.314168,0 days 00:00:08.501601,0.25,20,0.18,18,11,3,0.5127414067690325,0.5959827304994888,21,0.21044776119402986,4,COMPLETE
205,0.47211488124507106,0.5179522703988056,2025-12-22 20:11:28.315942,2025-12-22 20:11:38.926394,0 days 00:00:10.610452,0.12,28,0.03,19,8,34,0.47211488124507106,0.5179522703988056,18,0.3402985074626866,4,COMPLETE
206,0.49093984395795265,0.5805575426112953,2025-12-22 20:11:38.928349,2025-12-22 20:11:47.674284,0 days 00:00:08.745935,0.23,20,0.05,10,13,3,0.49093984395795265,0.5805575426112953,36,0.1338308457711443,4,COMPLETE
207,0.5759430980209737,0.3976792767928413,2025-12-22 20:11:47.675943,2025-12-22 20:11:58.836414,0 days 00:00:11.160471,0.2,36,0.19,14,12,34,0.5759430980209737,0.3976792767928413,11,0.38109452736318405,4,COMPLETE
208,0.8269448086205721,0.6198184527308173,2025-12-22 20:11:58.837724,2025-12-22 20:12:09.506809,0 days 00:00:10.669085,0.21,2,0.18,12,11,18,0.8269448086205721,0.6198184527308173,3,0.0,4,COMPLETE
209,0.426332377600209,0.34624627847980427,2025-12-22 20:12:09.508716,2025-12-22 20:12:20.391611,0 days 00:00:10.882895,0.3,3,0.21,3,7,24,0.426332377600209,0.34624627847980427,81,0.17213930348258707,4,COMPLETE
210,0.5419198449201924,0.5113100361748061,2025-12-22 20:12:20.393406,2025-12-22 20:12:30.823100,0 days 00:00:10.429694,0.12,12,0.06,5,12,15,0.5419198449201924,0.5113100361748061,53,0.19651741293532338,4,COMPLETE
211,0.5481824621179742,0.469784262746283,2025-12-22 20:12:30.824925,2025-12-22 20:12:42.773010,0 days 00:00:11.948085,0.0,29,0.11,17,14,46,0.5481824621179742,0.469784262746283,15,0.36069651741293535,4,COMPLETE
212,0.0,0.45675598716991933,2025-12-22 20:12:42.774406,2025-12-22 20:12:54.863415,0 days 00:00:12.089009,0.06,14,0.24,19,14,42,0.0,0.45675598716991933,2,0.015422885572139304,4,COMPLETE
213,0.5521774165342047,0.5871218043909705,2025-12-22 20:12:54.865200,2025-12-22 20:13:04.409965,0 days 00:00:09.544765,0.01,20,0.07,16,8,12,0.5521774165342047,0.5871218043909705,29,0.32338308457711445,4,COMPLETE
214,0.7014661864371355,0.4236263202028899,2025-12-22 20:13:04.411712,2025-12-22 20:13:14.839828,0 days 00:00:10.428116,0.06,48,0.21,18,6,31,0.7014661864371355,0.4236263202028899,9,0.3427860696517413,4,COMPLETE
215,0.5434256887495807,0.4925930931572423,2025-12-22 20:13:14.867488,2025-12-22 20:13:26.910343,0 days 00:00:12.042855,0.11,16,0.2,14,14,46,0.5434256887495807,0.4925930931572423,21,0.3701492537313433,4,COMPLETE
216,0.0,0.4245981653938292,2025-12-22 20:13:26.912052,2025-12-22 20:13:38.188507,0 days 00:00:11.276455,0.23,14,0.19,15,14,23,0.0,0.4245981653938292,2,0.0,4,COMPLETE
217,0.5638416902219625,0.5130355952001855,2025-12-22 20:13:38.190201,2025-12-22 20:13:48.607914,0 days 00:00:10.417713,0.12,14,0.04,9,14,13,0.5638416902219625,0.5130355952001855,41,0.22338308457711442,4,COMPLETE
218,0.48049666630207594,0.5835052361827546,2025-12-22 20:13:48.609915,2025-12-22 20:13:58.895880,0 days 00:00:10.285965,0.11,2,0.06,15,14,12,0.48049666630207594,0.5835052361827546,44,0.3144278606965174,4,COMPLETE
219,0.8269448086205721,0.514285200469584,2025-12-22 20:13:58.897985,2025-12-22 20:14:10.169966,0 days 00:00:11.271981,0.29,17,0.2,11,14,22,0.8269448086205721,0.514285200469584,3,0.0,4,COMPLETE
220,0.5539639886733778,0.31628221811438945,2025-12-22 20:14:10.171248,2025-12-22 20:14:19.974832,0 days 00:00:09.803584,0.21,24,0.24,9,7,14,0.5539639886733778,0.31628221811438945,29,0.31393034825870647,4,COMPLETE
221,0.0,0.12928324564020222,2025-12-22 20:14:19.976784,2025-12-22 20:14:31.363585,0 days 00:00:11.386801,0.22,22,0.06,16,14,25,0.0,0.12928324564020222,2,0.0,4,COMPLETE
222,0.4870601692238848,0.5554839181596865,2025-12-22 20:14:31.365251,2025-12-22 20:14:41.471623,0 days 00:00:10.106372,0.08,2,0.18,9,11,11,0.4870601692238848,0.5554839181596865,71,0.36069651741293535,4,COMPLETE
223,0.49715456828145854,0.6516199437844129,2025-12-22 20:14:41.473357,2025-12-22 20:14:49.981779,0 days 00:00:08.508422,0.25,10,0.0,19,11,3,0.49715456828145854,0.6516199437844129,34,0.16517412935323383,4,COMPLETE
224,0.7276306510625382,0.3672567615186126,2025-12-22 20:14:49.983165,2025-12-22 20:14:59.955967,0 days 00:00:09.972802,0.2,44,0.2,11,6,22,0.7276306510625382,0.3672567615186126,10,0.3328358208955224,4,COMPLETE
