number,values_0,values_1,datetime_start,datetime_complete,duration,params_cluster_selection_epsilon,params_min_cluster_size,params_min_dist,params_min_samples,params_n_components,params_n_neighbors,user_attrs_ccc_score,user_attrs_dbcv_score,user_attrs_n_clusters,user_attrs_outlier_ratio,system_attrs_NSGAIISampler:generation,state
45,0.0,0.9564235348936171,2025-12-22 19:46:07.974021,2025-12-22 19:46:20.164591,0 days 00:00:12.190570,0.18,46,0.1,9,13,44,0.0,0.9564235348936171,2,0.0,0,COMPLETE
46,0.0,0.08163880675181115,2025-12-22 19:46:20.165630,2025-12-22 19:46:29.219885,0 days 00:00:09.054255,0.3,25,0.17,18,8,5,0.0,0.08163880675181115,2,0.0,0,COMPLETE
47,0.0,0.9514127244684338,2025-12-22 19:46:29.221380,2025-12-22 19:46:40.643616,0 days 00:00:11.422236,0.3,44,0.04,7,7,42,0.0,0.9514127244684338,2,0.0,0,COMPLETE
48,0.5711463561937529,0.505486379209699,2025-12-22 19:46:40.645412,2025-12-22 19:46:50.847788,0 days 00:00:10.202376,0.01,15,0.12,6,2,29,0.5711463561937529,0.505486379209699,40,0.24825870646766168,0,COMPLETE
49,0.49400920705216333,0.5893082118936978,2025-12-22 19:46:50.849107,2025-12-22 19:47:01.808501,0 days 00:00:10.959394,0.25,8,0.05,7,7,28,0.49400920705216333,0.5893082118936978,46,0.19751243781094527,0,COMPLETE
50,0.7380691583634187,0.46770836070392247,2025-12-22 19:47:01.809556,2025-12-22 19:47:12.255711,0 days 00:00:10.446155,0.15,37,0.02,13,15,11,0.7380691583634187,0.46770836070392247,13,0.13432835820895522,1,COMPLETE
51,0.4828315465824895,0.34687756097793665,2025-12-22 19:47:12.256893,2025-12-22 19:47:22.183938,0 days 00:00:09.927045,0.02,13,0.2,1,6,11,0.4828315465824895,0.34687756097793665,53,0.14626865671641792,1,COMPLETE
52,0.0,0.919888042637802,2025-12-22 19:47:22.185216,2025-12-22 19:47:33.937055,0 days 00:00:11.751839,0.19,6,0.27,18,10,49,0.0,0.919888042637802,2,0.0,1,COMPLETE
53,0.30397315022166865,0.530798959991751,2025-12-22 19:47:33.938447,2025-12-22 19:47:53.170951,0 days 00:00:19.232504,0.05,2,0.09,1,10,12,0.30397315022166865,0.530798959991751,465,0.13681592039800994,1,COMPLETE
54,0.0,0.8810700336147885,2025-12-22 19:47:53.172563,2025-12-22 19:48:02.994365,0 days 00:00:09.821802,0.23,45,0.13,2,6,11,0.0,0.8810700336147885,2,0.0,1,COMPLETE
55,0.0,0.9394783390233334,2025-12-22 19:48:02.996164,2025-12-22 19:48:15.562884,0 days 00:00:12.566720,0.26,39,0.24,3,15,41,0.0,0.9394783390233334,2,0.0,1,COMPLETE
56,0.0,0.8798876237769941,2025-12-22 19:48:15.564848,2025-12-22 19:48:26.137688,0 days 00:00:10.572840,0.18,44,0.07,17,9,19,0.0,0.8798876237769941,2,0.0,1,COMPLETE
57,0.0,0.9518553120215876,2025-12-22 19:48:26.138644,2025-12-22 19:48:38.775725,0 days 00:00:12.637081,0.15,45,0.13,14,15,41,0.0,0.9518553120215876,2,0.0,1,COMPLETE
58,0.6069065499650095,0.44679103946715715,2025-12-22 19:48:38.777451,2025-12-22 19:48:49.047785,0 days 00:00:10.270334,0.21,27,0.03,6,5,25,0.6069065499650095,0.44679103946715715,19,0.13880597014925372,1,COMPLETE
59,0.0,0.11506240569344678,2025-12-22 19:48:49.049748,2025-12-22 19:48:59.439431,0 days 00:00:10.389683,0.06,39,0.11,11,9,2,0.0,0.11506240569344678,2,0.3044776119402985,1,COMPLETE
