number,values_0,values_1,datetime_start,datetime_complete,duration,params_cluster_selection_epsilon,params_min_cluster_size,params_min_dist,params_min_samples,params_n_components,params_n_neighbors,user_attrs_ccc_score,user_attrs_dbcv_score,user_attrs_n_clusters,user_attrs_outlier_ratio,system_attrs_NSGAIISampler:generation,state
36,0.5270732650363787,0.008238181798765096,2025-12-22 19:39:56.154479,2025-12-22 19:40:06.599363,0 days 00:00:10.444884,0.29,28,0.16,14,6,22,0.5270732650363787,0.008238181798765096,3,0.04029850746268657,0,COMPLETE
37,0.6853372997879558,0.3560676234122057,2025-12-22 19:40:06.600628,2025-12-22 19:40:16.551938,0 days 00:00:09.951310,0.1,42,0.16,15,10,14,0.6853372997879558,0.3560676234122057,8,0.2507462686567164,0,COMPLETE
38,0.4694714350861973,0.45006967083306065,2025-12-22 19:40:16.554204,2025-12-22 19:40:27.266380,0 days 00:00:10.712176,0.25,19,0.28,11,9,30,0.4694714350861973,0.45006967083306065,19,0.3517412935323383,0,COMPLETE
39,0.500408778842024,0.36665183241937527,2025-12-22 19:40:27.267580,2025-12-22 19:40:35.873038,0 days 00:00:08.605458,0.15,29,0.03,10,3,5,0.500408778842024,0.36665183241937527,23,0.1890547263681592,0,COMPLETE
40,0.0,-0.5413488547627011,2025-12-22 19:40:35.874800,2025-12-22 19:40:46.580967,0 days 00:00:10.706167,0.03,15,0.23,19,2,49,0.0,-0.5413488547627011,2,0.020398009950248756,0,COMPLETE
41,0.543547693364829,0.2990346001695888,2025-12-22 19:40:46.582987,2025-12-22 19:40:57.465931,0 days 00:00:10.882944,0.05,36,0.26,12,11,26,0.543547693364829,0.2990346001695888,11,0.39154228855721396,0,COMPLETE
42,0.5334995683881455,0.36293494431886564,2025-12-22 19:40:57.467166,2025-12-22 19:41:08.969751,0 days 00:00:11.502585,0.13,46,0.19,9,13,35,0.5334995683881455,0.36293494431886564,11,0.38308457711442784,0,COMPLETE
43,0.5472622015732428,0.37508836048103994,2025-12-22 19:41:08.971764,2025-12-22 19:41:18.931262,0 days 00:00:09.959498,0.29,43,0.1,17,11,12,0.5472622015732428,0.37508836048103994,10,0.24477611940298508,0,COMPLETE
44,0.0,0.570061590128716,2025-12-22 19:41:18.933151,2025-12-22 19:41:31.260794,0 days 00:00:12.327643,0.17,24,0.1,20,15,33,0.0,0.570061590128716,2,0.0024875621890547263,0,COMPLETE
45,0.6691394170724777,-0.018617670294512133,2025-12-22 19:41:31.262585,2025-12-22 19:41:42.152479,0 days 00:00:10.889894,0.18,43,0.15,3,5,49,0.6691394170724777,-0.018617670294512133,10,0.23532338308457712,0,COMPLETE
46,0.6512554706489265,0.37063990411204395,2025-12-22 19:41:42.154210,2025-12-22 19:41:53.040228,0 days 00:00:10.886018,0.08,31,0.24,16,10,32,0.6512554706489265,0.37063990411204395,14,0.41492537313432837,0,COMPLETE
47,0.6595016152024057,0.3195176713264663,2025-12-22 19:41:53.042170,2025-12-22 19:42:04.144454,0 days 00:00:11.102284,0.12,34,0.17,7,10,37,0.6595016152024057,0.3195176713264663,13,0.3044776119402985,0,COMPLETE
48,0.4923610648971712,0.5159246173782334,2025-12-22 19:42:04.146163,2025-12-22 19:42:17.157433,0 days 00:00:13.011270,0.0,5,0.08,7,14,46,0.4923610648971712,0.5159246173782334,61,0.3527363184079602,0,COMPLETE
49,0.5514179871068917,0.23259937126918837,2025-12-22 19:42:17.159347,2025-12-22 19:42:29.269707,0 days 00:00:12.110360,0.27,40,0.0,2,15,36,0.5514179871068917,0.23259937126918837,13,0.2019900497512438,0,COMPLETE
50,0.7027472863466906,0.4434095685445095,2025-12-22 19:42:29.271107,2025-12-22 19:42:40.128328,0 days 00:00:10.857221,0.08,36,0.28,11,10,32,0.7027472863466906,0.4434095685445095,10,0.3681592039800995,1,COMPLETE
51,0.560661661618068,0.4721834726313562,2025-12-22 19:42:40.129919,2025-12-22 19:42:51.303568,0 days 00:00:11.173649,0.2,9,0.16,16,9,44,0.560661661618068,0.4721834726313562,23,0.38159203980099504,1,COMPLETE
52,0.7651339660701999,0.4636635736183961,2025-12-22 19:42:51.304676,2025-12-22 19:43:02.006242,0 days 00:00:10.701566,0.01,42,0.1,20,7,33,0.7651339660701999,0.4636635736183961,10,0.4,1,COMPLETE
53,0.0,0.4506323940191908,2025-12-22 19:43:02.008223,2025-12-22 19:43:11.175398,0 days 00:00:09.167175,0.27,27,0.21,16,14,4,0.0,0.4506323940191908,2,0.07313432835820896,1,COMPLETE
54,0.5247161496696444,0.5316250405146961,2025-12-22 19:43:11.177441,2025-12-22 19:43:21.279918,0 days 00:00:10.102477,0.04,14,0.3,13,10,15,0.5247161496696444,0.5316250405146961,31,0.42686567164179107,1,COMPLETE
55,0.48971093330482174,0.49223252996828043,2025-12-22 19:43:21.281762,2025-12-22 19:43:33.043786,0 days 00:00:11.762024,0.27,7,0.16,8,13,39,0.48971093330482174,0.49223252996828043,39,0.3597014925373134,1,COMPLETE
56,0.0,0.2278137564205566,2025-12-22 19:43:33.045670,2025-12-22 19:43:43.666653,0 days 00:00:10.620983,0.07,18,0.16,18,5,28,0.0,0.2278137564205566,2,0.003482587064676617,1,COMPLETE
57,0.49431907337238734,0.1329059026534906,2025-12-22 19:43:43.668365,2025-12-22 19:43:55.836099,0 days 00:00:12.167734,0.27,19,0.28,2,15,36,0.49431907337238734,0.1329059026534906,29,0.27114427860696516,1,COMPLETE
58,0.46467271803921695,0.46015361751656503,2025-12-22 19:43:55.837908,2025-12-22 19:44:07.259665,0 days 00:00:11.421757,0.18,20,0.28,12,14,28,0.46467271803921695,0.46015361751656503,20,0.36716417910447763,1,COMPLETE
