number,values_0,values_1,datetime_start,datetime_complete,duration,params_cluster_selection_epsilon,params_min_cluster_size,params_min_dist,params_min_samples,params_n_components,params_n_neighbors,user_attrs_ccc_score,user_attrs_dbcv_score,user_attrs_n_clusters,user_attrs_outlier_ratio,system_attrs_NSGAIISampler:generation,state
36,0.6768767678871128,0.354820338882532,2025-12-22 19:39:37.882515,2025-12-22 19:39:49.445008,0 days 00:00:11.562493,0.25,44,0.05,3,15,32,0.6768767678871128,0.354820338882532,14,0.2572139303482587,0,COMPLETE
37,0.4590028891455171,0.26795684849616264,2025-12-22 19:39:49.446697,2025-12-22 19:39:59.240512,0 days 00:00:09.793815,0.14,19,0.24,4,3,29,0.4590028891455171,0.26795684849616264,34,0.32338308457711445,0,COMPLETE
38,0.9644223118872992,0.16896695242403276,2025-12-22 19:39:59.242543,2025-12-22 19:40:08.750049,0 days 00:00:09.507506,0.23,25,0.29,15,11,7,0.9644223118872992,0.16896695242403276,4,0.05472636815920398,0,COMPLETE
39,0.4282313522417341,0.5622086042613124,2025-12-22 19:40:08.751908,2025-12-22 19:40:16.773890,0 days 00:00:08.021982,0.15,18,0.17,19,3,3,0.4282313522417341,0.5622086042613124,26,0.3472636815920398,0,COMPLETE
40,0.6358089515282058,0.2366367551588023,2025-12-22 19:40:16.775762,2025-12-22 19:40:26.844569,0 days 00:00:10.068807,0.18,40,0.15,4,7,23,0.6358089515282058,0.2366367551588023,15,0.29701492537313434,0,COMPLETE
41,0.5925273976048965,-0.17033757196991692,2025-12-22 19:40:26.846549,2025-12-22 19:40:36.785303,0 days 00:00:09.938754,0.26,34,0.17,4,2,47,0.5925273976048965,-0.17033757196991692,14,0.16716417910447762,0,COMPLETE
42,0.6244039864544179,0.5197554678187487,2025-12-22 19:40:36.787082,2025-12-22 19:40:46.975478,0 days 00:00:10.188396,0.08,20,0.01,19,5,37,0.6244039864544179,0.5197554678187487,24,0.2900497512437811,0,COMPLETE
43,0.543137260391728,0.522606232818614,2025-12-22 19:40:46.977263,2025-12-22 19:40:57.384282,0 days 00:00:10.407019,0.26,13,0.26,14,14,14,0.543137260391728,0.522606232818614,36,0.34626865671641793,0,COMPLETE
44,0.6601139305582805,0.35924976893768584,2025-12-22 19:40:57.386023,2025-12-22 19:41:07.286079,0 days 00:00:09.900056,0.15,14,0.22,16,14,8,0.6601139305582805,0.35924976893768584,7,0.03333333333333333,0,COMPLETE
45,0.0,0.1449691103545816,2025-12-22 19:41:07.287850,2025-12-22 19:41:16.445720,0 days 00:00:09.157870,0.22,50,0.3,13,11,5,0.0,0.1449691103545816,2,0.1253731343283582,0,COMPLETE
46,0.735556222888268,0.050170510284338846,2025-12-22 19:41:16.447037,2025-12-22 19:41:25.566851,0 days 00:00:09.119814,0.09,45,0.22,10,10,6,0.735556222888268,0.050170510284338846,3,0.11592039800995024,0,COMPLETE
47,0.6290524399951449,0.32109571712600016,2025-12-22 19:41:25.568833,2025-12-22 19:41:36.898378,0 days 00:00:11.329545,0.16,38,0.19,7,14,34,0.6290524399951449,0.32109571712600016,17,0.2751243781094527,0,COMPLETE
48,0.49048568512067015,0.445007029759171,2025-12-22 19:41:36.899761,2025-12-22 19:41:47.374457,0 days 00:00:10.474696,0.25,19,0.27,13,5,50,0.49048568512067015,0.445007029759171,24,0.481592039800995,0,COMPLETE
49,0.5892204974396421,0.3559386445576182,2025-12-22 19:41:47.376304,2025-12-22 19:41:57.552325,0 days 00:00:10.176021,0.04,39,0.15,3,7,25,0.5892204974396421,0.3559386445576182,17,0.31044776119402984,0,COMPLETE
50,0.3402232039153654,0.6107875645499025,2025-12-22 19:41:57.554209,2025-12-22 19:42:07.698521,0 days 00:00:10.144312,0.09,2,0.29,10,4,28,0.3402232039153654,0.6107875645499025,74,0.4343283582089552,1,COMPLETE
